,0
1,일산
2,연신내
3,한남동
4,이화여자대학교
5,청담
6,전대
7,천안
8,선릉역
9,수유역
10,타임스퀘어
11,신곡동
12,광안대교
13,합정
14,수암골
15,상인
16,한화비즈메트로
17,롯대월드
18,가양
19,창원시
20,상무지구
21,N-Seoul
22,고대맛집
23,평촌
24,롯데시티호텔
25,마산합포구
26,A-ZIT
27,Ansan
28,합정역
29,경희대점
30,Czech
31,커피랩
32,성신여대
33,Everland
34,덕천
35,센텀
36,신사
37,별내
38,프라도호텔
39,서산
40,영남대학교
41,오렌지거리
42,Cambridge
43,김포공항
44,한강
45,금오산
46,Korea
47,홍대
48,연남동
49,답십리
50,동경맨션
51,유성
52,Yongin
53,별내점
54,마포
55,공덕
56,경복궁
57,구의동
58,영등포
59,한남본점
60,충북대학교
61,섭지
62,해운대
63,부산 남포동
64,남포동
65,Dong-A
66,코엑스
67,안암
68,신촌
69,호림아트센터
70,코엑스
71,지리산
72,시내 동성로
73,대전
74,자양동
75,Busan
76,신길동
77,경상남도
78,하동
79,Brooklyn
80,Marseille
81,소요산
82,김해 어방동
83,안암역사거리
84,궁평항
85,Namsan
86,쌍촌동
87,안암동로타리
88,대학로
89,전라남도 장성군 백양사
90,장성군
91,백양사
92,상도동
93,서울
94,마린시티
95,동탄
96,주안역
97,동대문디자인플라자
98,여의도
99,IFC몰
100,대관령
101,양떼목장
102,성신여대
103,쁘띠프랑스
104,괴정
105,강남점
106,에버랜드
107,세종엠코타운
108,용산
109,시드니
110,판교
111,Pohang
112,상도동
113,포항
114,홍대
115,덕수궁
116,충남 공주시 신관동
117,경기대 경기드림타워
118,광복롯데백화점
119,진해
120,동성로
121,Seohyeon
122,광주광역시
123,한양대학교
124,대구서부정류장
125,연신내
126,Erica
127,연세대학교
128,경기대 드림타워
129,한강난지공원
130,주안
131,사창사거리
132,상명대학교 천안캠퍼스
133,광주 구시청
134,김해국제공항
135,석촌호수
136,이촌점
137,서울호서예술종합전문학교
138,명동역
139,안산점
140,63 컨벤션센터
141,용두동
142,용산
143,인천차이나타운
144,동화마을
145,베이징
146,청평
147,미아삼거리
148,고대 안암역
149,롯데월드몰
150,지중해마을
151,가로수길
152,부산 초량동
153,부산대
154,지산동
155,파미에스테이션
156,칠곡
157,광진구 군자동
158,해방촌
159,Tongyeong
160,풍암
161,수원
162,인계동
163,장미의거리
164,압구정
165,연세대학교음악대학윤주용홀
166,천호
167,커먼그라운드
168,강남
169,율하중심상가
170,칠보
171,전주실내체육관
172,독바위역
173,대구스타디움점
174,광주시립미술관
175,백운호수
176,강남논현동
177,아중리
178,명동
179,홍대
180,중앙대학교
181,대전롯데백화점
182,서종점
183,경산
184,남산타워
185,안암
186,석촌호수
187,성북동
188,중앙동
189,청담
190,고대앞
191,석남동
192,대만
193,롯데마트고양점
194,중산동
195,해양경찰청
196,망포동
197,경주
198,죽전점
199,동편마을
200,강남구 신사동
201,센텀시티
202,대전역 성심당
203,노량진수산시장
204,디큐브아트센터
205,파르나스몰
206,의정부
207,동의대
208,국민대학교 경상관
209,청사포
210,궁동
211,북촌한옥마을
212,경북 경주시
213,라마다호텔
214,경리단
215,창원 가로수길
216,전북대점
217,충주시 용산동
218,송천동
219,가로수길
220,범어먹거리타운
221,중앙대학교
222,광주역
223,울산방어진
224,상남동
225,신곡시장
226,첨성대
227,용머리해안 제주도
228,서울 강서구
229,내장산국립공원
230,건대
231,창문여자고등학교
232,위례신도시
233,충북제천
234,방배동
235,한강공원 이촌지구
236,선릉역 샹제리제빌딩
237,제천시 청전동
238,영등포
239,야탑
240,가보정
241,백현동 카페거리
242,고려대학교 정후
243,주전
244,부평
245,흑석동
246,이대역
247,제부도
248,광화문
249,연산자이아파트
250,청계광장
251,천안 안서동
252,인사동
253,순천
254,학동사거리
255,광교
256,신대방삼거리
257,건대입구
258,금오랜드
259,보성군
260,세종시 도담동
261,명동
262,율하 우야지막창
263,여수
264,전라남도 순천
265,장한평점
266,전라남도 광양
267,북촌전망대
268,강원도 강릉 안목해변
269,전대후문
270,경기도  파주시 운정신도시
271,과기대
272,신사동
273,을지로입구점
274,지리산천왕봉
275,고려대학교 민주광장
276,송파구 잠실
277,일산 킨텍스
278,가산점
279,삼성동 코엑스
280,경기 광주
281,신도림
282,용인대학교 문화예술대학
283,부산 사하구 괴정동
284,연산동
285,경기도 일산
286,현충원
287,홍대 상수역
288,Chuncheon
289,인천 동화마을
290,인천대학교송도캠퍼스
291,거제시 수월동
292,반포동
293,이태원
294,의령 정암루
295,신촌
296,성수
297,약수
298,소답동
299,반포대교 한강공원
300,압구정 한강공원
301,광교호수공원
302,삼청동
303,시지광장점
304,통영 서호시장
305,서울대학교
306,강남논현동
307,전포동 까페거리
308,신논현역 버거킹 강남교보점
309,Anam
310,KU
311,Gangnam
312,두정동
313,경희대점
314,명지대
315,두암동
316,경북예술고등학교
317,선운지구
318,서울 올림픽공원 체조경기장
319,노량진
320,서문시장
321,수유
322,팔당댐
323,범계 이태원
324,중앙동
325,서울특별시 관악구 대학동
326,석관동
327,전남대
328,둔촌동
329,한옥마을
330,고잔동
331,이대 돈천동
332,잠실
333,신대점
334,삼청동
335,하림각
336,남포동
337,인사동
338,팔당댐
339,전북대 대학로
340,가산w몰
341,휘닉스파크
342,부산대
343,대천해수욕장
344,신정동
345,광안리
346,Jeju
347,계원예술고등학교
348,답십리 현대시장
349,양평
350,운현궁
351,인천공항
352,남대문시장
353,남대문
354,북촌 한옥마을
355,삼각지역
356,대구공평
357,덕유산
358,홍대 화동
359,선부동
360,양산타워
361,노량진 
362,주례점
363,고려대학교
364,라페스타
365,울산대공원
366,유성구 상대동
367,용현동
368,금오산
369,아산 현충사
370,서래마을
371,두물머리
372,대구가톨릭대학교
373,원주 무실동
374,성희여고
375,사가정역
376,호명산
377,Seosan
378,한서대학교 영암체육관
379,신천점
380,중앙대
381,가평
382,세운청계상가
383,안산 선부동
384,양산 동경
385,읍천항
386,성남동
387,단구동
388,수원 인계동
389,영등포구청
390,송도 해인
391,타임스퀘어점
392,시지광장
393,남산동
394,을지로
395,청라지구
396,울산 동구 전하동
397,일산
398,노원
399,하남
400,지동시장
401,Hannamdong
402,용산프라자
403,안양시 동안구 호계동
404,서귀포 매일올레시장
405,구로시장
406,광주시립미술관
407,일본 시부야
408,순천만 생태공원
409,평촌한림대병원
410,동천동
411,동래
412,하계
413,산곡동
414,계동
415,서울여자고등학교
416,경남문화예술회관
417,소격동
418,덕수궁길
419,경희대앞
420,문정역점
421,신성동
422,수완지구
423,Gumi
424,서울시청광장
425,연신내
426,성북구 돈암동
427,제주
428,명일동
429,명동
430,신천시장
431,전주 한옥마을
432,진해 내수면 생태공원
433,발산역
434,금호미술관
435,서울특별시
436,해운대 Busan
437,"Itaewon,Seoul"
438,운정점
439,현대어린이책미술관
440,고려대학교
441,천호동
442,목동
443,시화점
444,창원시 의창구 봉곡동
445,퐁피두센터
446,이태원
447,거제 홍포
448,숙대
449,파주 지혜의숲
450,안산시 고잔동 문화광장
451,대전복합터미널
452,청주공항
453,전남대
454,방천시장
455,태화강공원
456,삼전동
457,호남고속도로
458,부천
459,회기
460,뚝섬
461,제주 월정리
462,인천국제공항
463,아주대
464,안암캠퍼스
465,후암동
466,충북대학교 토목공학관
467,구시청 동경야시장
468,평리동
469,이수역
470,동래
471,KU시네마트랩
